Team,Conference Division,Year,Ranking
Wisconsin,Big Ten West,2019,1
Minnesota,Big Ten West,2019,2
Iowa,Big Ten West,2019,3
Illinois,Big Ten West,2019,4
Purdue,Big Ten West,2019,5
Nebraska,Big Ten West,2019,6
Northwestern,Big Ten West,2019,7
Ohio St.,Big Ten East,2019,1
Penn St.,Big Ten East,2019,2
Michigan,Big Ten East,2019,3
Indiana,Big Ten East,2019,4
Michigan St.,Big Ten East,2019,5
Maryland,Big Ten East,2019,6
Rutgers,Big Ten East,2019,7
Georgia,SEC East,2019,1
Florida,SEC East,2019,2
Tennessee,SEC East,2019,3
Missouri,SEC East,2019,4
Kentucky,SEC East,2019,5
South Carolina,SEC East,2019,6
Vanderbilt,SEC East,2019,7
LSU,SEC West,2019,1
Alabama,SEC West,2019,2
Auburn,SEC West,2019,3
Texas A&M,SEC West,2019,4
Mississippi St.,SEC West,2019,5
Ole Miss,SEC West,2019,6
Arkansas,SEC West,2019,7
Wisconsin,Big Ten West,2018,2
Minnesota,Big Ten West,2018,5
Iowa,Big Ten West,2018,4
Illinois,Big Ten West,2018,7
Purdue,Big Ten West,2018,3
Nebraska,Big Ten West,2018,6
Northwestern,Big Ten West,2018,1
Ohio St.,Big Ten East,2018,1
Penn St.,Big Ten East,2018,3
Michigan,Big Ten East,2018,2
Indiana,Big Ten East,2018,6
Michigan St.,Big Ten East,2018,4
Maryland,Big Ten East,2018,5
Rutgers,Big Ten East,2018,7
Georgia,SEC East,2018,1
Florida,SEC East,2018,2
Tennessee,SEC East,2018,7
Missouri,SEC East,2018,4
Kentucky,SEC East,2018,3
South Carolina,SEC East,2018,5
Vanderbilt,SEC East,2018,6
LSU,SEC West,2018,2
Alabama,SEC West,2018,1
Auburn,SEC West,2018,5
Texas A&M,SEC West,2018,3
Mississippi St.,SEC West,2018,4
Ole Miss,SEC West,2018,6
Arkansas,SEC West,2018,7
Wisconsin,Big Ten West,2017,1
Minnesota,Big Ten West,2017,6
Iowa,Big Ten West,2017,3
Illinois,Big Ten West,2017,7
Purdue,Big Ten West,2017,4
Nebraska,Big Ten West,2017,5
Northwestern,Big Ten West,2017,2
Ohio St.,Big Ten East,2017,1
Penn St.,Big Ten East,2017,3
Michigan,Big Ten East,2017,4
Indiana,Big Ten East,2017,6
Michigan St.,Big Ten East,2017,2
Maryland,Big Ten East,2017,7
Rutgers,Big Ten East,2017,5
Georgia,SEC East,2017,1
Florida,SEC East,2017,5
Tennessee,SEC East,2017,7
Missouri,SEC East,2017,4
Kentucky,SEC East,2017,3
South Carolina,SEC East,2017,2
Vanderbilt,SEC East,2017,6
LSU,SEC West,2017,3
Alabama,SEC West,2017,2
Auburn,SEC West,2017,1
Texas A&M,SEC West,2017,5
Mississippi St.,SEC West,2017,4
Ole Miss,SEC West,2017,6
Arkansas,SEC West,2017,7
Wisconsin,Big Ten West,2016,1
Minnesota,Big Ten West,2016,4
Iowa,Big Ten West,2016,3
Illinois,Big Ten West,2016,6
Purdue,Big Ten West,2016,7
Nebraska,Big Ten West,2016,2
Northwestern,Big Ten West,2016,5
Ohio St.,Big Ten East,2016,2
Penn St.,Big Ten East,2016,1
Michigan,Big Ten East,2016,3
Indiana,Big Ten East,2016,4
Michigan St.,Big Ten East,2016,6
Maryland,Big Ten East,2016,5
Rutgers,Big Ten East,2016,7
Georgia,SEC East,2016,2
Florida,SEC East,2016,1
Tennessee,SEC East,2016,4
Missouri,SEC East,2016,7
Kentucky,SEC East,2016,3
South Carolina,SEC East,2016,6
Vanderbilt,SEC East,2016,5
LSU,SEC West,2016,2
Alabama,SEC West,2016,1
Auburn,SEC West,2016,3
Texas A&M,SEC West,2016,4
Mississippi St.,SEC West,2016,6
Ole Miss,SEC West,2016,7
Arkansas,SEC West,2016,5
